State Code,State Name,Total Households,Landless households deriving major part of their income from manual casual labour,%Landless households deriving major part of their income from manual casual labour,Households with non-agricultural enterprises registered with government,%Households with non-agricultural enterprises registered with government,Households paying income tax/professional tax,%Households paying income tax/professional tax,Households with Destitutes/living on alms,%Households with Destitutes/living on alms,Households with salaried job in government,%Households with salaried job in government,Households with salaried job in Public,%Households with salaried job in Public,Households with salaried job in Private,%Households with salaried job in Private,Monthly income of highest earning household member is < 5000,%Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is 5000 - 10000,%Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is > 10000,%Monthly income of highest earning household member is > 10000,Household with government job and reporting monthly highest income > 5000,%Household with government job and reporting monthly highest income > 5000,Households having motorized two/three/four wheelers and fishing boats,%Households having motorized two/three/four wheelers and fishing boats,Households having 2 wheeler,%Households having 2 wheeler,Households having 3 wheeler,%Households having 3 wheeler,Households having 4 wheeler,%Households having 4 wheeler,Households having motorized fishing boat,%Households having motorized fishing boat,Households Own a refrigerator,%Households Own a refrigerator,Households Own a landline phone,%Households Own a landline phone,Households Owns mobile only,%Households Owns mobile only,Households Owns both landline and mobile,%Households Owns both landline and mobile,Household without any phone,%Household without any phone,Households owning mechanized three/four wheeler agricultural equipments,%Households owning mechanized three/four wheeler agricultural equipments,Households having kisan credit card with the credit limit of Rs.50000 and above,%Households having kisan credit card with the credit limit of Rs.50000 and above,Total Households owning un-irrrigated land,%Total Households owning un-irrrigated land,Total Households owning irrrigated land,%Total Households owning irrrigated land,Total Households owning other land,%Total Households owning other land,Households with irrigation equipments,%Households with irrigation equipments,Household who have no land but have irrigation equipment,%Household who have no land but have irrigation equipment,Household which don't own land but have kissan credit card,%Household which don't own land but have kissan credit card
0,All India,179164759,68565993,38.27,4895103,2.73,8212926,4.58,668569,0.37,8956653,5,1990816,1.11,6390301,3.57,133453356,74.49,30785098,17.18,14847239,8.29,8223124,4.59,37077942,20.69,31230695,17.43,1002573,0.56,4415308,2.46,429366,0.24,19772975,11.04,1785476,1,122453797,68.35,4874886,2.72,50044811,27.93,7373967,4.12,6488164,3.62,53217573,29.7,45920265,25.63,21404321,11.95,17678372,9.87,1592771,0.89,699174,0.39
1,Jammu & Kashmir,1600842,173739,10.85,65876,4.12,139371,8.71,5511,0.34,319348,19.95,8248,0.52,30570,1.91,1079810,67.45,232399,14.52,288624,18.03,296012,18.49,192808,12.04,127643,7.97,4298,0.27,59033,3.69,1834,0.11,288332,18.01,15450,0.97,1153099,72.03,33977,2.12,398316,24.88,27542,1.72,12441,0.78,960258,59.98,531396,33.19,414064,25.87,53493,3.34,2373,0.15,2273,0.14
2,Himachal Pradesh,1261682,80222,6.36,108106,8.57,132520,10.5,3342,0.26,291231,23.08,17881,1.42,118978,9.43,674802,53.48,279523,22.15,307356,24.36,271439,21.51,251393,19.93,159106,12.61,2672,0.21,88232,6.99,1383,0.11,531258,42.11,21019,1.67,990237,78.49,127329,10.09,123097,9.76,38020,3.01,68698,5.44,844811,66.96,492707,39.05,245359,19.45,44021,3.49,3700,0.29,4345,0.34
3,Punjab,3268562,1481990,45.34,182779,5.59,228517,6.99,5329,0.16,244557,7.48,27927,0.85,146630,4.49,1881237,57.56,813629,24.89,571910,17.5,233993,7.16,1672034,51.16,1338496,40.95,18496,0.57,309039,9.45,6003,0.18,2171240,66.43,42576,1.3,2598971,79.51,204032,6.24,422983,12.94,528333,16.16,268161,8.2,268348,8.21,609773,18.66,127819,3.91,746982,22.85,43915,1.34,14341,0.44
4,Chandigarh,15657,2690,17.18,1182,7.55,1779,11.36,17,0.11,1994,12.74,312,1.99,7139,45.6,7046,45,5119,32.69,3492,22.3,1957,12.5,5796,37.02,4754,30.36,140,0.89,896,5.72,6,0.04,7373,47.09,36,0.23,14344,91.61,550,3.51,727,4.64,310,1.98,50,0.32,235,1.5,334,2.13,200,1.28,466,2.98,265,1.69,30,0.19
5,Uttarakhand,1479742,279752,18.91,75829,5.12,110323,7.46,3214,0.22,184079,12.44,29635,2,136595,9.23,938356,63.41,323538,21.86,217848,14.72,174607,11.8,344556,23.28,294460,19.9,4470,0.3,43881,2.97,1745,0.12,340968,23.04,11192,0.76,1281517,86.6,26185,1.77,160758,10.86,54261,3.67,59135,4,673942,45.54,471192,31.84,183009,12.37,87594,5.92,17997,1.22,6849,0.46
6,Haryana,2969509,1126029,37.92,224940,7.57,203285,6.85,9381,0.32,265164,8.93,24711,0.83,164082,5.53,1750716,58.96,732974,24.68,483377,16.28,257813,8.68,1015735,34.21,804203,27.08,15734,0.53,191490,6.45,4308,0.15,1157173,38.97,18797,0.63,2509300,84.5,66674,2.25,374159,12.6,342367,11.53,286030,9.63,750104,25.26,1175529,39.59,249105,8.39,699011,23.54,49156,1.66,11524,0.39
7,NCT of Delhi,1051106,132983,12.65,205426,19.54,186171,17.71,4358,0.41,98211,9.34,86466,8.23,478918,45.56,307520,29.26,443977,42.24,299598,28.5,87213,8.3,531220,50.54,382087,36.35,30225,2.88,104440,9.94,14468,1.38,692754,65.91,43719,4.16,924755,87.98,41229,3.92,41403,3.94,48761,4.64,39006,3.71,59515,5.66,62587,5.95,55154,5.25,89675,8.53,66881,6.36,20736,1.97
8,Rajasthan,10222277,2674785,26.17,185670,1.82,336907,3.3,47927,0.47,570140,5.58,62620,0.61,292733,2.86,7473656,73.11,1759513,17.21,981947,9.61,549060,5.37,2080303,20.35,1654564,16.19,22939,0.22,395277,3.87,7523,0.07,937865,9.17,30866,0.3,6739501,65.93,198667,1.94,3253243,31.83,522602,5.11,860506,8.42,4632180,45.31,3386205,33.13,1271588,12.44,1736882,16.99,37908,0.37,17099,0.17
9,Uttar Pradesh,25975460,7940990,30.57,681310,2.62,758124,2.92,45247,0.17,1046145,4.03,397052,1.53,803790,3.09,18582308,71.54,5231520,20.14,2140841,8.24,976552,3.76,6675199,25.7,5873989,22.61,142017,0.55,577293,2.22,81900,0.32,2228201,8.58,194586,0.75,22503019,86.63,287228,1.11,2989930,11.51,1654648,6.37,1943390,7.48,5101082,19.64,13068741,50.31,3123957,12.03,4312076,16.6,296828,1.14,127096,0.49
